National Center for Education Statistics,,,,,,,,,,,,,,,,,,,
Price Trend,,,,,,,,,,,,,,,,,,,
,,,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
143048,School of the Art Institute of Chicago,On-campus in-district(total),67870,65100,63170,61010,58500,58495,56560,56900,55190,52000,49630,47330,44990,42750,40990,38490,36380
143048,School of the Art Institute of Chicago,On-campus in-state(total),67870,65100,63170,61010,58500,58495,56560,56900,55190,52000,49630,47330,44990,42750,40990,38490,36380
143048,School of the Art Institute of Chicago,Off-campus in-district(total),62850,60730,59050,57130,55370,53545,54050,52020,50610,47600,45310,43190,40950,38550,36890,35010,33350
143048,School of the Art Institute of Chicago,Off-campus in-state(total),62850,60730,59050,57130,55370,53545,54050,52020,50610,47600,45310,43190,40950,38550,36890,35010,33350
143048,School of the Art Institute of Chicago,Off-campus with family in-district(total),53060,51210,49530,47740,46000,44305,42750,43100,41690,39900,37910,35970,34130,31950,30370,28610,27050
143048,School of the Art Institute of Chicago,Off-campus with family in-state(total),53060,51210,49530,47740,46000,44305,42750,43100,41690,39900,37910,35970,34130,31950,30370,28610,27050
143048,School of the Art Institute of Chicago,Off-campus with family out-of-state(total),53060,51210,49530,47740,46000,44305,42750,43100,41690,39900,37910,35970,34130,31950,30370,28610,27050
144005,Chicago State University,On-campus in-district(total),24587,24676,24891,24417,24016,23202,22480,23584,22794,20846,19854,18346,18330,17537,16943,14582,13974
144005,Chicago State University,On-campus in-state(total),24587,24676,24891,24417,24016,23202,22480,23584,22794,20846,19854,18346,18330,17537,16943,14582,13974
144005,Chicago State University,Off-campus in-district(total),24587,24676,24891,24417,24016,23202,22480,23584,22794,20946,19854,18346,18330,17537,16943,15082,14474
144005,Chicago State University,Off-campus in-state(total),24587,24676,24891,24417,24016,23202,22480,23584,22794,20946,19854,18346,18330,17537,16943,15082,14474
144005,Chicago State University,Off-campus with family in-district(total),15863,15952,16167,15694,15546,14732,14258,15362,14964,13406,12604,11594,11838,11325,10843,9082,8474
144005,Chicago State University,Off-campus with family in-state(total),15863,15952,16167,15694,15546,14732,14258,15362,14964,13406,12604,11594,11838,11325,10843,9082,8474
144005,Chicago State University,Off-campus with family out-of-state(total),22823,22912,23127,22654,22506,21124,20354,21962,21372,19322,18028,16490,17448,16515,15673,15467,13939
144050,University of Chicago,On-campus in-district(total),78555,75735,72717,70100,67572,64988,62425,59950,57590,55195,53271,49976,47440,45055,42674,40725,38875
144050,University of Chicago,On-campus in-state(total),78555,75735,72717,70100,67572,64988,62425,59950,57590,55195,53271,49976,47440,45055,42674,40725,38875
144050,University of Chicago,Off-campus in-district(total),60030,57834,55449,53151,51180,48914,46959,45080,43291,41386,39553,36918,35005,33215,31579,30088,37500
144050,University of Chicago,Off-campus in-state(total),60030,57834,55449,53151,51180,48914,46959,45080,43291,41386,39553,36918,35005,33215,31579,30088,37500
144050,University of Chicago,Off-campus with family in-district(total),60030,57834,55449,53151,51180,48914,46959,45080,43291,41386,39553,36918,35005,33215,31579,30088,33210
144050,University of Chicago,Off-campus with family in-state(total),60030,57834,55449,53151,51180,48914,46959,45080,43291,41386,39553,36918,35005,33215,31579,30088,33210
144050,University of Chicago,Off-campus with family out-of-state(total),60030,57834,55449,53151,51180,48914,46959,45080,43291,41386,39553,36918,35005,33215,31579,30088,33210
144157,City Colleges of Chicago-Kennedy-King College,On-campus in-district(total),5404,5406,5406,5406,5380,5380,4926,4926,4866,4128,3758,3626,3242,3060,2910,2610,2610
144157,City Colleges of Chicago-Kennedy-King College,On-campus in-state(total),11116,10026,10026,10026,8770,8271,7817,7463,8515,9533,9368,7165,6507,5930,7926,6285,6285
144157,City Colleges of Chicago-Kennedy-King College,Off-campus in-district(total),14492,14494,14520,14520,19684,19204,18110,18110,18050,17312,13614,13322,12554,12052,11710,11250,11122
144157,City Colleges of Chicago-Kennedy-King College,Off-campus in-state(total),20204,19114,19140,19140,23074,22095,21001,20647,21699,22717,19224,16861,15819,14922,16726,14925,14797
144157,City Colleges of Chicago-Kennedy-King College,Off-campus with family in-district(total),6524,6526,6816,6816,8320,7840,6910,6910,6850,6112,6638,6538,9002,8628,8382,7986,7922
144157,City Colleges of Chicago-Kennedy-King College,Off-campus with family in-state(total),12236,11146,11436,11436,11710,10731,9801,9447,10499,11517,12248,10077,12267,11498,13398,11661,11597
144157,City Colleges of Chicago-Kennedy-King College,Off-campus with family out-of-state(total),14564,14926,15216,15216,13141,12268,11338,11151,12031,12999,13685,13671,15590,14604,15971,14055,13991
144166,City Colleges of Chicago-Malcolm X College,On-campus in-district(total),5404,5406,5406,5406,5380,5380,4926,4926,4866,4128,3758,3626,3242,3060,2910,2610,2610
144166,City Colleges of Chicago-Malcolm X College,On-campus in-state(total),11116,10026,10026,10026,8770,8271,7817,7463,8515,9533,9368,7165,6507,5930,7926,6285,6285
144166,City Colleges of Chicago-Malcolm X College,Off-campus in-district(total),14492,14494,14520,14520,19684,19204,18110,18110,18050,17312,13614,13322,12554,12052,11710,11250,11122
144166,City Colleges of Chicago-Malcolm X College,Off-campus in-state(total),20204,19114,19140,19140,23074,22095,21001,20647,21699,22717,19224,16861,15819,14922,16726,14925,14797
144166,City Colleges of Chicago-Malcolm X College,Off-campus with family in-district(total),6524,6526,6816,6816,8320,7840,6910,6910,6850,6112,6638,6538,9002,8628,8382,7986,7922
144166,City Colleges of Chicago-Malcolm X College,Off-campus with family in-state(total),12236,11146,11436,11436,11710,10731,9801,9447,10499,11517,12248,10077,12267,11498,13398,11661,11597
144166,City Colleges of Chicago-Malcolm X College,Off-campus with family out-of-state(total),14564,14926,15216,15216,13141,12268,11338,11151,12031,12999,13685,13671,15590,14604,15971,14055,13991
144175,City Colleges of Chicago-Olive-Harvey College,On-campus in-district(total),5404,5406,5406,5406,5380,5380,4926,4926,4866,4128,3758,3626,3242,3060,2910,2610,2610
144175,City Colleges of Chicago-Olive-Harvey College,On-campus in-state(total),11116,10026,10026,10026,8770,8271,7817,7463,8515,9533,9368,7165,6507,5930,7926,6285,6285
144175,City Colleges of Chicago-Olive-Harvey College,Off-campus in-district(total),14492,14494,14520,14520,19684,19204,18110,18110,18050,17312,13614,13322,12554,12052,11710,11250,11122
144175,City Colleges of Chicago-Olive-Harvey College,Off-campus in-state(total),20204,19114,19140,19140,23074,22095,21001,20647,21699,22717,19224,16861,15819,14922,16726,14925,14797
144175,City Colleges of Chicago-Olive-Harvey College,Off-campus with family in-district(total),6524,6526,6816,6816,8320,7840,6910,6910,6850,6112,6638,6538,9002,8628,8382,7986,7922
144175,City Colleges of Chicago-Olive-Harvey College,Off-campus with family in-state(total),12236,11146,11436,11436,11710,10731,9801,9447,10499,11517,12248,10077,12267,11498,13398,11661,11597
144175,City Colleges of Chicago-Olive-Harvey College,Off-campus with family out-of-state(total),14564,14926,15216,15216,13141,12268,11338,11151,12031,12999,13685,13671,15590,14604,15971,14055,13991
144184,City Colleges of Chicago-Harry S Truman College,On-campus in-district(total),5404,5406,5406,5406,5380,5380,4926,4926,4866,4128,3758,3626,3242,3060,2910,2610,2610
144184,City Colleges of Chicago-Harry S Truman College,On-campus in-state(total),11116,10026,10026,10026,8770,8271,7817,7463,8515,9533,9368,7165,6507,5930,7926,6285,6285
144184,City Colleges of Chicago-Harry S Truman College,Off-campus in-district(total),14492,14494,14520,14520,19684,19204,18110,18110,18050,17312,13614,13322,12554,12052,11710,11250,11122
144184,City Colleges of Chicago-Harry S Truman College,Off-campus in-state(total),20204,19114,19140,19140,23074,22095,21001,20647,21699,22717,19224,16861,15819,14922,16726,14925,14797
144184,City Colleges of Chicago-Harry S Truman College,Off-campus with family in-district(total),6524,6526,6816,6816,8320,7840,6910,6910,6850,6112,6638,6538,9002,8628,8382,7986,7922
144184,City Colleges of Chicago-Harry S Truman College,Off-campus with family in-state(total),12236,11146,11436,11436,11710,10731,9801,9447,10499,11517,12248,10077,12267,11498,13398,11661,11597
144184,City Colleges of Chicago-Harry S Truman College,Off-campus with family out-of-state(total),14564,14926,15216,15216,13141,12268,11338,11151,12031,12999,13685,13671,15590,14604,15971,14055,13991
144193,City Colleges of Chicago-Richard J Daley College,On-campus in-district(total),5404,5406,5406,5406,5380,5380,4926,4926,4866,4128,3758,3626,3242,3060,2910,2610,2610
144193,City Colleges of Chicago-Richard J Daley College,On-campus in-state(total),11116,10026,10026,10026,8770,8271,7817,7463,8515,9533,9368,7165,6507,5930,7926,6285,6285
144193,City Colleges of Chicago-Richard J Daley College,Off-campus in-district(total),14492,14494,14520,14520,19684,19204,18110,18110,18050,17312,13614,13322,12554,12052,11710,11250,11122
144193,City Colleges of Chicago-Richard J Daley College,Off-campus in-state(total),20204,19114,19140,19140,23074,22095,21001,20647,21699,22717,19224,16861,15819,14922,16726,14925,14797
144193,City Colleges of Chicago-Richard J Daley College,Off-campus with family in-district(total),6524,6526,6816,6816,8320,7840,6910,6910,6850,6112,6638,6538,9002,8628,8382,7986,7922
144193,City Colleges of Chicago-Richard J Daley College,Off-campus with family in-state(total),12236,11146,11436,11436,11710,10731,9801,9447,10499,11517,12248,10077,12267,11498,13398,11661,11597
144193,City Colleges of Chicago-Richard J Daley College,Off-campus with family out-of-state(total),14564,14926,15216,15216,13141,12268,11338,11151,12031,12999,13685,13671,15590,14604,15971,14055,13991
